user_id,user_role,department,years_of_experience,login_timestamp,login_hour,login_day_of_week,login_location,device_type,daily_login_count,failed_login_attempts,records_accessed_count,records_modified_count,sensitive_record_access,cross_department_access,session_duration_minutes,anomaly_label
46,Nurse,Pediatrics,4,11/13/2022,16,Friday,Remote VPN,Desktop,16,2,32,6,No,No,33,0
47,Doctor,Cardiology,9,1/4/2022,17,Sunday,Hospital Network,Mobile,4,4,120,66,No,No,173,0
48,Admin Staff,Pediatrics,10,6/15/2022,10,Monday,Remote VPN,Mobile,18,1,40,22,No,No,8,0
49,Doctor,Emergency,11,3/3/2022,15,Friday,Hospital Network,Desktop,14,10,111,65,No,No,27,0
50,Nurse,Pediatrics,24,12/29/2022,14,Tuesday,Hospital Network,Mobile,7,2,29,76,No,No,125,0
51,Admin Staff,Pediatrics,8,11/23/2022,6,Monday,Hospital Network,Tablet,22,1,48,72,No,No,168,0
52,Doctor,Emergency,28,8/18/2022,18,Saturday,Remote VPN,Desktop,3,6,269,53,No,No,36,0
53,Nurse,Neurology,1,2/23/2022,11,Friday,Hospital Network,Desktop,2,8,18,37,No,No,34,0
54,Nurse,Neurology,25,9/22/2022,8,Monday,Hospital Network,Tablet,29,10,293,23,No,No,24,1
55,Doctor,Emergency,21,3/8/2022,1,Sunday,Hospital Network,Desktop,13,9,46,69,No,No,63,0
56,Nurse,Oncology,22,3/13/2022,6,Saturday,Hospital Network,Tablet,10,2,10,11,No,No,131,0
57,Nurse,Neurology,27,1/31/2022,10,Tuesday,Hospital Network,Mobile,16,9,96,78,No,No,85,0
58,Nurse,Pediatrics,27,3/22/2022,8,Saturday,Hospital Network,Tablet,29,4,29,23,No,No,19,0
59,Doctor,Emergency,12,3/20/2022,18,Tuesday,Hospital Network,Mobile,20,2,224,63,No,No,35,0
60,Admin Staff,Cardiology,4,4/21/2022,17,Wednesday,Hospital Network,Mobile,15,5,103,9,No,No,89,0
61,Admin Staff,Oncology,12,2/4/2022,22,Thursday,Hospital Network,Desktop,16,6,244,43,No,No,50,0
62,Admin Staff,Neurology,25,10/19/2022,10,Sunday,Hospital Network,Tablet,11,9,300,77,No,No,154,0
63,Nurse,Oncology,20,1/23/2022,14,Monday,Unknown IP,Mobile,13,10,151,20,No,Yes,59,0
64,Admin Staff,Emergency,13,7/30/2022,21,Thursday,Remote VPN,Mobile,25,7,271,6,No,No,27,0
65,Admin Staff,Neurology,14,4/26/2022,2,Saturday,Hospital Network,Desktop,8,2,67,47,No,No,94,0
66,Nurse,Cardiology,28,11/14/2022,8,Sunday,Hospital Network,Tablet,18,8,194,77,No,No,104,0
67,Nurse,Pediatrics,26,6/13/2022,22,Wednesday,Remote VPN,Desktop,28,1,97,46,No,No,166,0
68,Admin Staff,Neurology,16,8/7/2022,7,Friday,Remote VPN,Desktop,28,4,99,37,No,No,164,0
69,Nurse,Oncology,16,4/14/2022,10,Monday,Hospital Network,Desktop,6,8,159,11,No,Yes,144,0
70,Doctor,Oncology,14,6/17/2022,14,Sunday,Hospital Network,Desktop,1,1,28,41,No,No,122,0
71,Admin Staff,Pediatrics,10,7/20/2022,16,Thursday,Hospital Network,Tablet,25,5,136,23,No,No,161,0
72,Doctor,Oncology,26,7/11/2022,8,Tuesday,Hospital Network,Tablet,8,2,30,78,No,No,39,0
73,Nurse,Emergency,26,1/22/2022,19,Wednesday,Hospital Network,Tablet,29,1,225,57,No,No,63,0
74,Admin Staff,Neurology,28,7/17/2022,17,Monday,Remote VPN,Desktop,6,1,291,9,No,No,140,0
75,Nurse,Oncology,11,3/14/2022,20,Sunday,Hospital Network,Mobile,22,4,91,65,No,No,40,0
76,Doctor,Cardiology,16,11/14/2022,13,Friday,Hospital Network,Desktop,2,7,219,20,No,No,98,0
77,Admin Staff,Oncology,13,4/26/2022,10,Saturday,Hospital Network,Desktop,26,9,162,2,No,No,167,0
78,Admin Staff,Oncology,12,10/2/2022,22,Sunday,Hospital Network,Desktop,22,6,33,2,No,No,84,0
79,Admin Staff,Emergency,4,7/21/2022,4,Sunday,Hospital Network,Tablet,27,8,258,7,No,No,98,0
80,Admin Staff,Oncology,1,5/21/2022,22,Monday,Remote VPN,Tablet,20,3,252,49,No,No,73,0
81,Doctor,Cardiology,13,3/25/2022,7,Thursday,Hospital Network,Desktop,14,5,238,63,No,No,75,0
82,Admin Staff,Cardiology,6,2/13/2022,7,Thursday,Hospital Network,Desktop,11,1,152,12,No,No,18,0
83,Doctor,Neurology,27,5/25/2022,3,Sunday,Hospital Network,Desktop,21,4,169,70,No,No,75,0
84,Nurse,Pediatrics,19,6/12/2022,11,Monday,Remote VPN,Desktop,6,0,50,45,No,No,23,0
85,Nurse,Pediatrics,8,11/10/2022,6,Wednesday,Hospital Network,Mobile,21,7,270,1,No,Yes,106,0
86,Nurse,Oncology,19,11/11/2022,17,Monday,Hospital Network,Tablet,20,3,157,74,No,No,172,0
87,Nurse,Neurology,26,7/25/2022,15,Wednesday,Hospital Network,Desktop,26,9,127,24,No,No,19,0
88,Doctor,Emergency,27,4/24/2022,2,Sunday,Hospital Network,Tablet,7,3,82,6,No,Yes,145,0
89,Nurse,Emergency,6,7/3/2022,0,Sunday,Hospital Network,Tablet,1,7,166,12,Yes,No,48,1
90,Nurse,Cardiology,8,5/23/2022,23,Friday,Remote VPN,Desktop,29,0,265,69,No,No,44,0
91,Admin Staff,Emergency,10,5/26/2022,18,Thursday,Hospital Network,Desktop,25,4,138,6,No,No,175,0
92,Nurse,Cardiology,12,4/27/2022,14,Saturday,Hospital Network,Desktop,8,6,16,62,No,No,134,0
93,Doctor,Emergency,7,1/4/2022,2,Tuesday,Hospital Network,Tablet,8,3,101,15,No,No,151,0
94,Doctor,Oncology,30,5/3/2022,3,Sunday,Hospital Network,Mobile,22,4,14,43,No,No,47,0
95,Admin Staff,Pediatrics,11,11/12/2022,18,Monday,Remote VPN,Desktop,23,2,80,18,No,No,162,0
96,Doctor,Neurology,14,6/6/2022,20,Sunday,Hospital Network,Tablet,5,10,125,60,No,No,180,0
97,Doctor,Neurology,2,10/25/2022,1,Wednesday,Hospital Network,Mobile,12,5,160,63,No,No,49,0
98,Doctor,Oncology,19,7/16/2022,2,Monday,Hospital Network,Desktop,29,9,98,0,No,No,54,0
99,Nurse,Neurology,17,11/11/2022,17,Saturday,Hospital Network,Desktop,21,1,203,27,No,No,180,0
100,Nurse,Neurology,20,4/4/2022,15,Saturday,Hospital Network,Mobile,6,7,137,53,No,No,180,0
101,Doctor,Oncology,11,5/18/2022,10,Monday,Hospital Network,Desktop,18,1,32,57,No,No,88,0
102,Doctor,Neurology,20,5/3/2022,2,Monday,Unknown IP,Mobile,7,4,186,64,Yes,No,62,0
103,Admin Staff,Pediatrics,22,8/16/2022,14,Saturday,Hospital Network,Mobile,19,4,188,46,No,No,53,0
104,Nurse,Pediatrics,15,4/10/2022,16,Monday,Hospital Network,Desktop,12,1,128,51,No,No,148,0
105,Doctor,Neurology,10,3/11/2022,9,Saturday,Hospital Network,Tablet,12,1,86,67,No,No,115,0
106,Admin Staff,Oncology,28,8/21/2022,1,Tuesday,Hospital Network,Desktop,9,8,56,7,No,No,101,0
107,Nurse,Cardiology,10,10/27/2022,20,Monday,Remote VPN,Mobile,20,9,28,1,No,No,69,0
108,Nurse,Cardiology,16,1/21/2022,15,Saturday,Remote VPN,Tablet,9,3,81,78,No,No,77,0
109,Admin Staff,Cardiology,6,2/18/2022,7,Tuesday,Hospital Network,Mobile,9,5,42,48,Yes,No,22,0
110,Admin Staff,Oncology,13,10/1/2022,13,Wednesday,Hospital Network,Tablet,4,8,16,59,No,No,135,0
111,Admin Staff,Neurology,17,9/23/2022,5,Friday,Hospital Network,Mobile,26,4,119,66,No,No,39,0
112,Doctor,Neurology,8,11/15/2022,18,Monday,Hospital Network,Tablet,18,9,215,3,No,No,49,1
113,Doctor,Oncology,23,10/31/2022,14,Thursday,Hospital Network,Tablet,1,3,176,10,No,No,117,0
114,Nurse,Emergency,12,8/4/2022,4,Tuesday,Hospital Network,Tablet,25,10,291,25,No,No,128,0
115,Nurse,Neurology,25,2/17/2022,10,Friday,Hospital Network,Desktop,30,9,299,79,No,No,172,0
116,Nurse,Neurology,15,5/22/2022,0,Monday,Hospital Network,Mobile,30,0,224,36,No,Yes,54,0
117,Admin Staff,Neurology,24,12/7/2022,17,Saturday,Remote VPN,Mobile,23,7,57,11,No,No,14,0
118,Nurse,Emergency,20,6/15/2022,8,Friday,Hospital Network,Mobile,14,8,3,74,No,No,90,0
119,Admin Staff,Emergency,25,5/11/2022,20,Saturday,Hospital Network,Mobile,12,1,288,35,No,No,149,0
120,Admin Staff,Cardiology,1,5/24/2022,4,Tuesday,Hospital Network,Desktop,23,3,44,29,No,No,163,0
121,Doctor,Cardiology,26,6/11/2022,21,Monday,Hospital Network,Tablet,17,8,148,8,No,No,41,0
122,Admin Staff,Cardiology,4,5/6/2022,12,Thursday,Hospital Network,Tablet,21,10,242,54,No,No,88,0
123,Doctor,Oncology,3,11/5/2022,8,Saturday,Hospital Network,Desktop,4,7,281,46,No,No,98,1
124,Nurse,Cardiology,5,11/21/2022,4,Tuesday,Hospital Network,Tablet,7,3,275,74,No,No,85,0
125,Admin Staff,Neurology,29,5/16/2022,12,Monday,Remote VPN,Tablet,14,8,291,71,Yes,Yes,7,0
126,Admin Staff,Cardiology,7,9/28/2022,0,Thursday,Hospital Network,Mobile,16,3,66,29,No,No,144,0
127,Nurse,Cardiology,28,4/16/2022,20,Friday,Hospital Network,Tablet,26,3,64,72,No,No,98,0
128,Nurse,Neurology,3,3/27/2022,8,Wednesday,Hospital Network,Desktop,30,7,278,38,No,No,56,0
129,Doctor,Oncology,28,9/13/2022,19,Thursday,Hospital Network,Desktop,2,7,212,43,No,No,18,0
130,Admin Staff,Cardiology,21,10/23/2022,21,Friday,Hospital Network,Mobile,3,3,194,4,No,No,141,0
131,Nurse,Pediatrics,2,1/28/2022,10,Thursday,Unknown IP,Desktop,26,10,86,72,No,No,156,0
132,Doctor,Neurology,20,11/2/2022,9,Saturday,Hospital Network,Tablet,17,4,88,39,No,No,116,0
133,Admin Staff,Cardiology,9,9/30/2022,17,Sunday,Hospital Network,Mobile,21,8,119,71,No,Yes,134,0
134,Nurse,Cardiology,1,3/15/2022,1,Saturday,Unknown IP,Mobile,12,6,88,36,No,No,46,0
135,Nurse,Pediatrics,17,4/13/2022,20,Wednesday,Hospital Network,Tablet,20,4,131,62,No,No,68,0
136,Doctor,Pediatrics,22,1/25/2022,14,Tuesday,Remote VPN,Mobile,4,2,220,74,No,No,83,0
137,Doctor,Pediatrics,19,2/15/2022,13,Thursday,Remote VPN,Tablet,5,6,158,29,No,No,177,0
138,Nurse,Neurology,24,10/1/2022,5,Friday,Hospital Network,Desktop,26,4,181,72,No,No,174,0
139,Doctor,Oncology,2,4/3/2022,23,Monday,Hospital Network,Tablet,11,3,237,80,No,No,120,0
140,Nurse,Emergency,24,10/26/2022,7,Monday,Hospital Network,Mobile,3,0,212,57,No,No,90,0
141,Doctor,Cardiology,30,2/1/2022,23,Saturday,Remote VPN,Desktop,21,4,137,28,No,No,32,0
142,Nurse,Neurology,29,7/10/2022,1,Thursday,Hospital Network,Mobile,21,9,155,49,No,No,109,0
143,Doctor,Neurology,21,4/22/2022,17,Monday,Hospital Network,Desktop,24,3,225,29,No,No,27,0
144,Doctor,Neurology,16,5/20/2022,16,Thursday,Remote VPN,Desktop,23,1,53,52,No,No,34,0
145,Doctor,Emergency,14,7/21/2022,0,Thursday,Hospital Network,Tablet,8,0,96,57,No,No,80,0
146,Doctor,Oncology,14,4/21/2022,21,Wednesday,Hospital Network,Mobile,28,9,175,11,No,No,73,0
147,Admin Staff,Cardiology,9,2/7/2022,17,Monday,Hospital Network,Tablet,22,1,212,1,No,No,66,0
148,Doctor,Pediatrics,12,2/25/2022,2,Sunday,Hospital Network,Mobile,14,7,113,26,No,No,157,0
149,Doctor,Emergency,29,5/23/2022,5,Tuesday,Hospital Network,Tablet,20,9,281,19,No,No,27,0
150,Nurse,Cardiology,30,11/3/2022,19,Tuesday,Hospital Network,Tablet,27,1,30,27,Yes,No,104,0
151,Doctor,Oncology,26,8/6/2022,4,Thursday,Hospital Network,Desktop,19,7,51,21,No,No,75,0
152,Admin Staff,Oncology,23,5/25/2022,22,Tuesday,Hospital Network,Desktop,2,8,205,12,No,No,64,0
153,Doctor,Neurology,5,5/29/2022,20,Thursday,Hospital Network,Tablet,18,5,255,41,No,No,158,0
154,Doctor,Cardiology,6,4/21/2022,20,Saturday,Hospital Network,Mobile,25,7,110,4,No,No,113,0
155,Doctor,Pediatrics,14,12/19/2022,21,Thursday,Hospital Network,Tablet,23,4,45,53,No,No,44,0
156,Nurse,Emergency,26,8/26/2022,21,Sunday,Remote VPN,Tablet,17,1,157,2,No,No,153,0
157,Doctor,Neurology,13,7/15/2022,22,Monday,Remote VPN,Desktop,21,5,65,16,No,No,144,0
158,Doctor,Neurology,7,9/28/2022,9,Wednesday,Hospital Network,Desktop,14,10,27,8,No,Yes,172,0
159,Admin Staff,Emergency,1,6/22/2022,9,Sunday,Hospital Network,Mobile,6,3,205,31,No,No,42,0
160,Nurse,Pediatrics,17,9/2/2022,1,Wednesday,Hospital Network,Tablet,26,8,114,1,No,No,144,0
161,Admin Staff,Neurology,1,10/13/2022,20,Wednesday,Hospital Network,Tablet,11,3,74,37,No,No,75,0
162,Admin Staff,Pediatrics,23,10/2/2022,22,Sunday,Hospital Network,Tablet,7,1,64,54,No,No,98,0
163,Doctor,Oncology,5,9/5/2022,22,Monday,Hospital Network,Desktop,10,3,110,73,No,No,121,1
164,Nurse,Pediatrics,5,12/22/2022,0,Wednesday,Hospital Network,Tablet,4,7,222,16,No,No,169,0
165,Admin Staff,Neurology,19,1/21/2022,16,Thursday,Hospital Network,Mobile,6,5,253,45,No,No,144,0
166,Admin Staff,Cardiology,6,7/28/2022,1,Tuesday,Hospital Network,Mobile,17,1,186,40,No,No,110,0
167,Doctor,Emergency,5,10/22/2022,19,Thursday,Hospital Network,Mobile,7,5,189,56,No,No,148,0
168,Nurse,Oncology,17,4/10/2022,13,Wednesday,Hospital Network,Mobile,23,2,243,31,No,No,164,0
169,Doctor,Cardiology,10,12/15/2022,6,Monday,Hospital Network,Desktop,19,8,144,30,No,No,25,0
170,Admin Staff,Oncology,5,3/4/2022,6,Friday,Hospital Network,Tablet,24,2,298,11,No,No,49,0
171,Admin Staff,Oncology,2,6/11/2022,7,Monday,Hospital Network,Desktop,18,0,27,29,No,No,29,0
172,Admin Staff,Emergency,27,2/6/2022,12,Wednesday,Hospital Network,Tablet,22,10,107,62,No,No,155,0
173,Nurse,Emergency,7,9/16/2022,14,Friday,Hospital Network,Tablet,3,2,244,38,No,No,32,0
174,Doctor,Cardiology,1,3/7/2022,2,Tuesday,Hospital Network,Tablet,2,0,262,74,No,No,35,0
175,Admin Staff,Pediatrics,15,7/10/2022,14,Thursday,Hospital Network,Tablet,22,2,24,9,No,No,113,0
176,Admin Staff,Cardiology,10,6/19/2022,18,Saturday,Hospital Network,Desktop,2,9,60,71,No,No,113,0
177,Nurse,Neurology,10,12/2/2022,12,Sunday,Hospital Network,Desktop,14,5,73,36,No,No,30,0
178,Admin Staff,Neurology,15,4/30/2022,3,Sunday,Hospital Network,Mobile,4,9,30,29,No,No,106,0
179,Doctor,Neurology,24,5/10/2022,10,Saturday,Hospital Network,Desktop,12,0,92,73,No,No,65,0
180,Doctor,Emergency,12,4/30/2022,0,Wednesday,Remote VPN,Mobile,6,1,250,63,No,No,86,0
181,Nurse,Pediatrics,30,7/31/2022,20,Saturday,Hospital Network,Desktop,3,3,101,11,No,No,108,0
182,Admin Staff,Pediatrics,10,11/17/2022,21,Saturday,Hospital Network,Mobile,22,8,128,80,No,No,104,0
183,Admin Staff,Oncology,22,1/5/2022,13,Tuesday,Hospital Network,Desktop,28,2,116,61,No,Yes,145,0
184,Admin Staff,Neurology,22,5/9/2022,1,Monday,Hospital Network,Desktop,22,2,14,70,No,No,89,0
185,Admin Staff,Neurology,29,7/8/2022,10,Sunday,Unknown IP,Tablet,3,5,133,25,No,No,96,0
186,Nurse,Pediatrics,17,10/9/2022,13,Saturday,Hospital Network,Tablet,25,5,1,28,No,No,145,0
187,Nurse,Pediatrics,16,7/19/2022,23,Tuesday,Remote VPN,Mobile,16,4,131,16,No,No,58,1
188,Nurse,Emergency,11,2/17/2022,22,Monday,Hospital Network,Mobile,20,2,153,42,No,No,7,0
189,Doctor,Pediatrics,6,5/3/2022,8,Wednesday,Hospital Network,Tablet,7,8,197,29,No,No,127,0
190,Admin Staff,Oncology,16,6/16/2022,1,Monday,Hospital Network,Mobile,25,2,254,76,No,No,143,1
191,Doctor,Cardiology,11,4/14/2022,22,Thursday,Remote VPN,Desktop,8,1,283,20,No,No,66,0
192,Admin Staff,Oncology,12,5/27/2022,5,Friday,Hospital Network,Desktop,28,6,108,79,No,No,93,0
193,Admin Staff,Oncology,7,12/24/2022,7,Tuesday,Hospital Network,Desktop,1,7,26,36,No,No,160,0
194,Admin Staff,Emergency,18,10/23/2022,11,Thursday,Hospital Network,Mobile,29,2,194,71,No,No,74,0
195,Admin Staff,Neurology,12,2/12/2022,11,Sunday,Hospital Network,Tablet,16,2,27,27,No,No,151,0
196,Nurse,Pediatrics,2,10/20/2022,21,Wednesday,Remote VPN,Tablet,26,9,261,9,No,No,98,0
197,Doctor,Neurology,23,1/27/2022,18,Sunday,Remote VPN,Desktop,12,1,101,2,No,No,103,0
198,Doctor,Cardiology,9,10/22/2022,14,Sunday,Hospital Network,Desktop,3,2,151,78,No,No,30,0
199,Nurse,Pediatrics,21,6/7/2022,18,Thursday,Hospital Network,Mobile,23,4,10,77,No,No,156,1
200,Nurse,Oncology,23,11/11/2022,15,Monday,Remote VPN,Mobile,13,5,175,77,No,No,88,0
201,Doctor,Pediatrics,24,11/27/2022,10,Tuesday,Hospital Network,Desktop,25,1,66,5,No,No,45,0
202,Nurse,Cardiology,9,12/22/2022,3,Sunday,Hospital Network,Tablet,13,1,238,46,No,No,105,0
203,Doctor,Emergency,15,6/19/2022,20,Friday,Hospital Network,Desktop,29,10,279,13,No,No,13,0
204,Nurse,Cardiology,28,1/29/2022,0,Monday,Hospital Network,Tablet,5,4,108,4,No,No,19,0
205,Nurse,Pediatrics,5,7/21/2022,2,Sunday,Unknown IP,Desktop,21,7,173,4,No,No,112,0
206,Doctor,Oncology,24,7/7/2022,18,Thursday,Hospital Network,Tablet,8,3,164,32,No,No,179,0
207,Nurse,Oncology,24,6/4/2022,13,Monday,Remote VPN,Mobile,17,0,214,6,No,No,69,0
208,Admin Staff,Cardiology,14,6/21/2022,8,Saturday,Remote VPN,Mobile,21,3,23,62,No,No,56,0
209,Admin Staff,Neurology,30,9/27/2022,0,Wednesday,Remote VPN,Tablet,20,1,226,78,No,No,56,0
210,Nurse,Pediatrics,26,5/31/2022,17,Tuesday,Remote VPN,Tablet,24,3,41,61,No,No,72,0
211,Admin Staff,Emergency,11,4/30/2022,12,Sunday,Hospital Network,Desktop,25,7,202,30,No,No,73,0
212,Admin Staff,Emergency,3,1/27/2022,22,Saturday,Unknown IP,Mobile,4,7,280,71,No,No,55,0
213,Nurse,Emergency,11,11/3/2022,3,Sunday,Remote VPN,Desktop,20,6,40,8,No,No,73,0
214,Nurse,Cardiology,22,12/20/2022,16,Sunday,Hospital Network,Tablet,23,4,23,1,No,No,27,0
215,Nurse,Cardiology,28,11/6/2022,2,Wednesday,Hospital Network,Desktop,5,6,180,56,No,No,29,0
216,Doctor,Emergency,4,9/20/2022,8,Monday,Hospital Network,Tablet,16,0,138,34,No,No,87,0
217,Admin Staff,Cardiology,28,4/22/2022,12,Monday,Hospital Network,Tablet,21,5,42,69,No,No,177,0
218,Nurse,Neurology,17,4/11/2022,19,Monday,Hospital Network,Desktop,1,1,8,27,No,No,63,0
219,Admin Staff,Oncology,19,1/19/2022,5,Friday,Unknown IP,Mobile,27,1,86,12,No,No,104,0
220,Admin Staff,Neurology,28,1/5/2022,13,Tuesday,Hospital Network,Mobile,22,2,112,62,No,No,125,0
221,Admin Staff,Pediatrics,5,4/1/2022,12,Wednesday,Hospital Network,Mobile,10,3,21,51,No,No,72,0
222,Admin Staff,Neurology,24,12/24/2022,12,Tuesday,Hospital Network,Desktop,5,8,273,68,No,No,148,0
223,Doctor,Neurology,20,8/9/2022,17,Friday,Remote VPN,Tablet,18,10,45,49,No,No,36,0
224,Nurse,Oncology,3,2/18/2022,0,Wednesday,Hospital Network,Desktop,19,3,282,5,Yes,No,100,0
225,Admin Staff,Emergency,20,4/23/2022,1,Monday,Hospital Network,Mobile,13,3,127,53,No,No,175,0
226,Doctor,Oncology,23,6/28/2022,8,Friday,Unknown IP,Desktop,5,1,110,3,No,No,25,0
227,Nurse,Oncology,13,6/21/2022,21,Thursday,Hospital Network,Desktop,22,1,189,46,Yes,No,11,0
228,Nurse,Oncology,22,3/10/2022,2,Saturday,Hospital Network,Mobile,26,0,229,24,No,No,55,0
229,Admin Staff,Cardiology,10,12/13/2022,19,Monday,Hospital Network,Desktop,27,8,44,70,Yes,No,79,0
230,Nurse,Neurology,29,10/13/2022,15,Friday,Unknown IP,Mobile,28,7,36,74,No,No,131,0
231,Nurse,Emergency,9,5/31/2022,21,Monday,Hospital Network,Mobile,9,2,291,66,No,No,161,0
232,Admin Staff,Neurology,13,11/5/2022,15,Wednesday,Hospital Network,Desktop,23,2,13,35,No,No,118,0
233,Doctor,Neurology,21,3/30/2022,12,Tuesday,Hospital Network,Mobile,20,2,97,67,No,No,78,0
234,Doctor,Cardiology,12,6/27/2022,15,Saturday,Hospital Network,Desktop,30,1,276,63,No,No,105,0
235,Doctor,Emergency,29,7/15/2022,22,Tuesday,Hospital Network,Desktop,6,10,267,10,No,No,146,0
236,Doctor,Cardiology,30,9/7/2022,8,Monday,Remote VPN,Tablet,8,5,238,50,No,No,16,0
237,Admin Staff,Pediatrics,2,1/15/2022,13,Sunday,Hospital Network,Desktop,22,2,159,20,No,No,161,0
238,Admin Staff,Pediatrics,8,4/26/2022,23,Monday,Hospital Network,Tablet,1,9,27,10,No,No,91,1
239,Nurse,Neurology,13,3/3/2022,9,Friday,Hospital Network,Mobile,18,9,102,61,No,No,23,0
240,Nurse,Pediatrics,27,9/29/2022,12,Monday,Hospital Network,Tablet,1,6,12,19,No,No,92,0
